materia;assunto;tipo;banca;enunciado;alternativa_a;alternativa_b;alternativa_c;alternativa_d;alternativa_e;resposta
MATEMÁTICA;Geometria Espacial (Cilindro);Múltipla Escolha;FGV;O volume de um cilindro com raio da base 2 cm e altura 5 cm é: (Use $\pi$ = 3,14);$10\pi$ cm³;$20\pi$ cm³;$50\pi$ cm³;$100\pi$ cm³;$40\pi$ cm³;B
HISTÓRIA;Brasil Colônia (Mineração);Múltipla Escolha;VUNESP;A Intendência das Minas, criada pela Coroa Portuguesa no século XVIII, tinha como objetivo:;Incentivar o cultivo de café.;Regulamentar e fiscalizar a exploração do ouro.;Promover a catequese indígena.;Organizar as bandeiras.;Financiar o tráfico negreiro.;B
GEOGRAFIA;Climas (Semiárido);Múltipla Escolha;ENEM;A Caatinga, bioma do semiárido brasileiro, apresenta vegetação xerófita, o que significa que esta é adaptada a:;Altas altitudes.;Solos arenosos.;Elevada umidade.;Condições de escassez hídrica.;Baixas temperaturas.;D
PORTUGUÊS;Concordância Verbal (Verbo Haver);Múltipla Escolha;FGV;Assinale a frase correta quanto à concordância verbal.;Houve muitos problemas na reunião.;Haviam muitos problemas na reunião.;Fazem dois anos que não o vejo.;Devem haver soluções.;Existem muitos problemas a serem resolvidos.;A
DIREITO CONSTITUCIONAL;Controle Concentrado;Certo/Errado;CESPE;O ajuizamento de Ação Direta de Inconstitucionalidade (ADI) tem, como regra, efeito erga omnes e ex tunc.;Certo;Errado;;;;Certo
INFORMÁTICA;Software Proprietário;Múltipla Escolha;ENEM;A principal diferença entre software proprietário e software livre reside no(a):;Custo de aquisição.;Acesso e liberdade para modificar o código-fonte.;Facilidade de uso.;Idioma da interface.;Capacidade de processamento.;B
MATEMÁTICA;Progressão Aritmética (PA) (Soma);Múltipla Escolha;VUNESP;Qual a soma dos 10 primeiros termos de uma PA onde o primeiro termo é 1 e o último é 19?;100;95;190;20;105;A
HISTÓRIA;Revolução Francesa (Napoleão);Múltipla Escolha;FGV;O Golpe de 18 de Brumário (1799) marcou o início da ascensão de:;Robespierre.;Luís XVI.;Napoleão Bonaparte.;Marat.;Danton.;C
GEOGRAFIA;Geopolítica (BRICS);Múltipla Escolha;ENEM;O acrônimo BRICS se refere a um agrupamento econômico e político formado por quais países?;Brasil, Rússia, Índia, China e África do Sul.;Bélgica, Rússia, Indonésia, Canadá e Suíça.;Brasil, Romênia, Israel, Croácia e Singapura.;Brasil, Rússia, Irlanda, Chile e Espanha.;Brasil, Reino Unido, Itália, Coreia do Sul e Suíça.;A
PORTUGUÊS;Sintaxe (Adjunto Adverbial);Múltipla Escolha;VUNESP;A oração "Ontem, choveu muito na cidade." contém um adjunto adverbial de:;Lugar.;Modo.;Tempo.;Intensidade.;Causa.;C
DIREITO ADMINISTRATIVO;Licitação (Princípios);Certo/Errado;CESPE;O princípio da isonomia na licitação visa garantir que todos os licitantes tenham tratamento igualitário.;Certo;Errado;;;;Certo
INFORMÁTICA;Redes (Modelo OSI);Múltipla Escolha;FGV;Em qual camada do Modelo OSI o protocolo IP (Internet Protocol) opera?;Camada Física.;Camada de Enlace.;Camada de Rede.;Camada de Transporte.;Camada de Aplicação.;C
MATEMÁTICA;Análise Combinatória (Arranjo);Múltipla Escolha;VUNESP;De quantas formas diferentes 4 pessoas podem ser escolhidas para os cargos de Presidente e Vice-Presidente (a ordem importa)?;4;8;12;16;24;C
HISTÓRIA;Ditadura Militar (AI-5);Múltipla Escolha;FGV;O AI-5 (Ato Institucional Nº 5) permitiu ao Presidente da República, entre outras medidas:;Convocar eleições diretas.;Suspender o Congresso Nacional e cassar mandatos.;Promover a reforma agrária.;Restaurar o federalismo.;Criar novos partidos políticos.;B
GEOGRAFIA;Climas (Regime de Chuvas);Múltipla Escolha;VUNESP;A sazonalidade da Zona Intertropical está fortemente relacionada à migração da:;Corrente de El Niño.;Zona de Convergência Intertropical (ZCIT).;Massa Polar Atlântica.;Corrente de Humboldt.;Monções Asiáticas.;B
PORTUGUÊS;Crase (Obrigatória);Múltipla Escolha;FGV;Assinale a alternativa em que o uso da crase é obrigatório.;Fui a feira no domingo.;Ele se dedicou a estudar.;Dirigiu-se a pé ao local.;Refiro-me àquela situação.;Chegou a tempo.;D
DIREITO CONSTITUCIONAL;Direitos de 1ª Geração;Certo/Errado;CESPE;Os direitos de primeira dimensão (geração) são aqueles relacionados às liberdades públicas, exigindo uma abstenção do Estado (direitos negativos).;Certo;Errado;;;;Certo
INFORMÁTICA;Hardware (Barramento);Múltipla Escolha;VUNESP;O componente que realiza a comunicação e a transferência de dados entre o processador, a memória e os periféricos é o:;Gabinete.;Barramento (Bus).;Cache.;Cooler.;Placa de Vídeo.;B
MATEMÁTICA;Inequações do 2º Grau;Múltipla Escolha;ENEM;A inequação $x^2 - 4 < 0$ tem como solução o intervalo:;x < -2 ou x > 2;-2 < x < 2;x > 4;x < 4;x > 0;B
HISTÓRIA;Guerra Fria (Muro de Berlim);Múltipla Escolha;ENEM;A queda do Muro de Berlim, em 1989, simbolizou o(a):;Início da Segunda Guerra Mundial.;Fim da Guerra Fria e reunificação alemã.;Fortalecimento do Pacto de Varsóvia.;Crescimento do capitalismo na URSS.;Crise do Canal de Suez.;B
GEOGRAFIA;Geografia Agrária;Múltipla Escolha;FGV;O conceito de "Revolução Verde" está associado à:;Expansão da agricultura orgânica.;Utilização de agrotóxicos e sementes geneticamente modificadas para aumentar a produtividade.;Reforma agrária.;Diminuição da produção de alimentos.;Êxodo rural.;B
PORTUGUÊS;Regência Verbal (Verbo Chegar);Múltipla Escolha;FGV;A regência do verbo "chegar" está correta em:;Ele chegou em casa tarde.;Ele chegou na casa tarde.;Ele chegou à casa tarde.;Ele chegou pela casa tarde.;Ele chegou a casa tarde.;C
DIREITO ADMINISTRATIVO;Concurso Público (Validade);Certo/Errado;CESPE;O prazo de validade do concurso público será de até quatro anos, prorrogável uma vez, por igual período.;Certo;Errado;;;;Errado
INFORMÁTICA;Planilhas (Endereçamento);Múltipla Escolha;VUNESP;Em uma planilha, o endereçamento que não se altera quando a fórmula é copiada para outras células (ex: $A$1) é o endereçamento:;Relativo.;Misto.;Absoluto.;Automático.;Fixo.;C
MATEMÁTICA;Logaritmos (Propriedades);Múltipla Escolha;VUNESP;Se $\log(A) = 2$ e $\log(B) = 3$, qual é o valor de $\log(A \cdot B)$?;5;6;1;1,5;2/3;A
HISTÓRIA;Revolução Industrial (Inglaterra);Múltipla Escolha;ENEM;A Revolução Industrial se iniciou na Inglaterra por causa da conjunção de fatores como a reserva de carvão mineral, a mão de obra abundante e:;O apoio da Igreja Católica.;O domínio do mercado de especiarias.;A política do "Café com Leite".;A acumulação de capital pela burguesia.;A abolição imediata da escravidão.;D
GEOGRAFIA;Regionalização (Brasil);Múltipla Escolha;FGV;A divisão regional do Brasil mais utilizada oficialmente é baseada em quais critérios?;Climáticos e geológicos.;Históricos e culturais.;Políticos, administrativos e naturais.;Econômicos e sociais.;Populacionais e demográficos.;C
PORTUGUÊS;Interpretação (Vício de Linguagem);Múltipla Escolha;VUNESP;O uso da expressão "subir para cima" é um vício de linguagem chamado:;Neologismo.;Estrangeirismo.;Pleonasmo.;Solecismo.;Barbarismo.;C
DIREITO CONSTITUCIONAL;Princípios Fundamentais;Certo/Errado;CESPE;A República Federativa do Brasil tem como fundamentos, entre outros, a soberania, a cidadania e a dignidade da pessoa humana.;Certo;Errado;;;;Certo
INFORMÁTICA;Redes (Conceitos);Múltipla Escolha;FGV;Qual dispositivo de rede retransmite o sinal elétrico ou óptico sem processar os dados, apenas regenerando-o?;Roteador.;Switch.;Hub.;Bridge.;Modem.;C
MATEMÁTICA;Juros Compostos;Múltipla Escolha;VUNESP;Um capital de R$ 1.000,00 é aplicado a juros compostos de 10% ao mês por 2 meses. Qual o valor dos juros acumulados?;R$ 200,00;R$ 210,00;R$ 1.200,00;R$ 1.210,00;R$ 100,00;B
HISTÓRIA;Período Pré-Colonial (Missões);Múltipla Escolha;VUNESP;A principal finalidade das Missões Jesuíticas no Brasil Colônia era:;Exploração de ouro e pedras preciosas.;Organização militar do território.;Catequese e proteção dos indígenas.;Cultivo de tabaco e algodão.;Comércio com o exterior.;C
GEOGRAFIA;Clima (Efeito Estufa);Múltipla Escolha;ENEM;O efeito estufa é um fenômeno natural essencial para a vida na Terra, mas seu agravamento está ligado principalmente à:;Emissão excessiva de gases como metano e CO2.;Diminuição da camada de ozônio.;Aumento da atividade vulcânica.;Uso de energia nuclear.;Desmatamento da tundra.;A
PORTUGUÊS;Análise Sintática (Complemento Nominal);Múltipla Escolha;FGV;Na frase "Tenho certeza de sua aprovação", o termo sublinhado é:;Objeto indireto.;Adjunto adnominal.;Complemento nominal.;Predicativo do objeto.;Aposto.;C
DIREITO ADMINISTRATIVO;Licitação (Dispensa/Inexigibilidade);Certo/Errado;CESPE;A inviabilidade de competição é a regra que autoriza a dispensa de licitação.;Certo;Errado;;;;Errado
INFORMÁTICA;Navegadores (Modo);Múltipla Escolha;VUNESP;Qual modo de navegação no navegador (ex: Chrome, Firefox) impede o armazenamento de cookies e histórico localmente?;Modo Desenvolvedor.;Modo Anônimo ou Privado.;Modo de Segurança.;Modo Offline.;Modo Leitura.;B
MATEMÁTICA;Geometria (Polígonos);Múltipla Escolha;FGV;A soma dos ângulos internos de um quadrilátero é:;90º;180º;360º;720º;540º;C
HISTÓRIA;Guerra Fria (Oposição);Múltipla Escolha;ENEM;O principal fator ideológico que levou à polarização mundial durante a Guerra Fria foi a oposição entre:;Liberalismo e Mercantilismo.;Capitalismo e Socialismo.;Imperialismo e Colonialismo.;Absolutismo e Democracia.;Nacionalismo e Globalização.;B
GEOGRAFIA;Fontes de Energia (Vantagens);Múltipla Escolha;VUNESP;A energia eólica tem como principal vantagem ambiental ser uma fonte:;Não renovável e barata.;Limpa e renovável.;De baixo custo de instalação.;Com alta densidade energética.;Estável e previsível.;B
PORTUGUÊS;Acentuação (Ditongo);Múltipla Escolha;VUNESP;Qual palavra é acentuada por ter um ditongo aberto em sua penúltima sílaba?;Herói;Saúde;País;Bônus;Fácil;A
DIREITO CONSTITUCIONAL;Direito Penal;Certo/Errado;CESPE;Não haverá penas de caráter perpétuo, de trabalhos forçados e de banimento no Brasil.;Certo;Errado;;;;Certo
INFORMÁTICA;Sistema Operacional (Recursos);Múltipla Escolha;FGV;A função do "Gerenciador de Tarefas" (Task Manager) em sistemas operacionais como Windows é:;Instalar novos programas.;Controlar o tráfego de rede.;Monitorar e encerrar processos e aplicações em execução.;Criar backups do sistema.;Formatar o disco rígido.;C
MATEMÁTICA;Área (Retângulo);Múltipla Escolha;VUNESP;Um terreno retangular tem 12 metros de comprimento e 5 metros de largura. Qual é a área do terreno?;17 m²;34 m²;60 m²;120 m²;24 m²;C
HISTÓRIA;Revolução Industrial (Conceitos);Múltipla Escolha;ENEM;A divisão do trabalho em etapas, com cada trabalhador executando uma tarefa específica e repetitiva, é característica do sistema de:;Artesanato.;Manufatura.;Taylorismo/Fordismo.;Gildas.;Corporações de ofício.;C
GEOGRAFIA;Demografia (Conceito);Múltipla Escolha;FGV;O número de habitantes por quilômetro quadrado define o conceito de:;População absoluta.;Taxa de natalidade.;Densidade demográfica.;População economicamente ativa.;Crescimento natural.;C
PORTUGUÊS;Tipos de Discurso;Múltipla Escolha;VUNESP;O discurso em que o narrador reproduz fielmente a fala do personagem, usando verbos dicendi e pontuação adequada, é o:;Discurso indireto.;Discurso direto.;Discurso indireto livre.;Discurso implícito.;Discurso narrativo.;B
DIREITO ADMINISTRATIVO;Princípio da Legalidade;Certo/Errado;CESPE;O princípio da legalidade, para a Administração Pública, significa que ela só pode fazer o que a lei permite.;Certo;Errado;;;;Certo
INFORMÁTICA;Segurança (Criptografia Simétrica);Múltipla Escolha;VUNESP;Na criptografia simétrica, qual o principal aspecto que a diferencia da criptografia assimétrica?;Uso de três chaves.;Uso de uma única chave secreta para criptografar e descriptografar.;Maior lentidão no processamento.;Garantia de não-repúdio.;Uso de certificados digitais.;B
MATEMÁTICA;Função Afim (Coeficiente Angular);Múltipla Escolha;FGV;Na função $y = -3x + 7$, o coeficiente angular é:;7;3;-3;0;10;C
HISTÓRIA;Independência dos EUA;Múltipla Escolha;FGV;A frase "No taxation without representation" (Sem representação, sem tributação) foi o lema de qual evento histórico?;Revolução Francesa.;Independência dos EUA.;Guerra Civil Americana.;Revolução Gloriosa.;Guerra dos Sete Anos.;B
GEOGRAFIA;Climas (Brasil);Múltipla Escolha;ENEM;O clima que apresenta as quatro estações bem definidas e ocorre na região Sul do Brasil é o:;Tropical.;Semiárido.;Equatorial.;Subtropical.;Temperado.;D
PORTUGUÊS;Pronomes (Função);Múltipla Escolha;FGV;Em "O aluno, que estudou, foi aprovado", o pronome sublinhado tem função de:;Objeto direto.;Conjunção coordenativa.;Pronome demonstrativo.;Pronome relativo.;Substantivo.;D
DIREITO CONSTITUCIONAL;Direitos de 2ª Geração;Certo/Errado;CESPE;Os direitos de segunda dimensão (geração) são aqueles que exigem uma atuação positiva do Estado (direitos sociais, econômicos e culturais).;Certo;Errado;;;;Certo
INFORMÁTICA;Redes (Endereço IP);Múltipla Escolha;ENEM;Um endereço IP é utilizado para:;Identificar o fabricante de um equipamento.;Endereçar e rotear pacotes de dados na rede.;Controlar o acesso físico ao meio.;Criptografar comunicações.;Gerenciar a memória do sistema.;B
MATEMÁTICA;Razão e Proporção (Divisão Proporcional);Múltipla Escolha;VUNESP;Um prêmio de R$ 1.000,00 será dividido entre duas pessoas em partes proporcionais a 2 e 3. Qual o maior valor?;R$ 400,00;R$ 500,00;R$ 600,00;R$ 700,00;R$ 300,00;C
HISTÓRIA;Revolução Industrial (Fases);Múltipla Escolha;VUNESP;A utilização do petróleo e da eletricidade como principais fontes de energia marca qual fase da Revolução Industrial?;Primeira.;Segunda.;Terceira.;Quarta.;Quinta.;B
GEOGRAFIA;Meio Ambiente (Biodiversidade);Múltipla Escolha;ENEM;O conceito de Hotspot de biodiversidade é usado para áreas que:;Têm baixa diversidade de espécies.;Apresentam alta biodiversidade e grande ameaça de destruição.;São intocadas e protegidas integralmente.;São áreas de desertificação.;Ficam próximas a vulcões.;B
PORTUGUÊS;Ortografia (X/CH);Múltipla Escolha;VUNESP;Qual palavra está escrita corretamente?;Chícara;Enchame;Enxaqueca;Chale;Faxina;C
DIREITO ADMINISTRATIVO;Responsabilidade Civil (Teoria);Certo/Errado;CESPE;A responsabilidade civil do Estado, no Brasil, adota a teoria da culpa administrativa, para os casos de omissão.;Certo;Errado;;;;Errado
INFORMÁTICA;Conceitos (Memória);Múltipla Escolha;FGV;A sigla ROM (Read Only Memory) refere-se a uma memória que:;É volátil e só armazena dados temporariamente.;Pode ser lida, mas não facilmente alterada pelo usuário, sendo usada para o firmware.;É a memória de acesso mais rápido.;É usada como memória virtual.;Armazena o sistema operacional.;B
MATEMÁTICA;Sistemas Lineares (Problema);Múltipla Escolha;FGV;A diferença entre a idade de Pedro e a de João é 5 anos. A soma das idades é 35. Qual a idade de Pedro (o mais velho)?;15;20;25;30;10;B
HISTÓRIA;Revolução Russa (URSS);Múltipla Escolha;VUNESP;A União das Repúblicas Socialistas Soviéticas (URSS) foi formalmente estabelecida em:;1917.;1922.;1939.;1945.;1959.;B
GEOGRAFIA;Geopolítica (União Europeia);Múltipla Escolha;FGV;O principal objetivo da União Europeia é a criação de um(a):;Bloco militar.;Zona de livre comércio com moeda única.;Aliança de defesa.;Acordo de proteção ambiental.;Pacto de não-agressão.;B
PORTUGUÊS;Voz Passiva (Transformação);Múltipla Escolha;FGV;Transforme a frase "O funcionário entregou a carta" para a voz passiva analítica.;A carta entregou-se ao funcionário.;A carta é entregue pelo funcionário.;A carta foi entregue pelo funcionário.;Entregou-se a carta.;A carta seria entregue pelo funcionário.;C
DIREITO CONSTITUCIONAL;Segurança Jurídica;Certo/Errado;CESPE;O princípio da irretroatividade da lei, salvo para beneficiar o réu, é um desdobramento da garantia da segurança jurídica.;Certo;Errado;;;;Certo
INFORMÁTICA;Planilhas (Gráfico);Múltipla Escolha;ENEM;Qual tipo de gráfico é ideal para mostrar a proporção de um valor em relação ao total (fatia)?;Gráfico de linhas.;Gráfico de barras.;Gráfico de dispersão.;Gráfico de pizza ou setor.;Gráfico de área.;D
MATEMÁTICA;Geometria (Área Sombreada);Múltipla Escolha;ENEM;Em um quadrado de lado 10, há um círculo inscrito (maior possível). Qual a área restante (sombreada) do quadrado?;$100 - 25\pi$;$100 - 100\pi$;$100 - 50\pi$;$100 - 20\pi$;$25\pi - 100$;A
HISTÓRIA;República Velha (Guerra de Canudos);Múltipla Escolha;VUNESP;A Guerra de Canudos, no Nordeste brasileiro, representou um conflito entre o governo republicano e:;Os grandes fazendeiros da região.;Os cangaceiros.;Um movimento messiânico de camponeses.;Os quilombolas.;Os imigrantes italianos.;C
GEOGRAFIA;Cartografia (Coordenadas);Múltipla Escolha;VUNESP;A linha imaginária que divide a Terra em Hemisfério Oriental e Ocidental é o(a):;Equador.;Trópico de Câncer.;Meridiano de Greenwich.;Círculo Polar Ártico.;Trópico de Capricórnio.;C
PORTUGUÊS;Semântica (Antônimo);Múltipla Escolha;ENEM;O antônimo de "benevolente" é:;Genuíno.;Maligno.;Bondoso.;Altruísta.;Dispensável.;B
DIREITO ADMINISTRATIVO;Poder Regulamentar;Certo/Errado;CESPE;O poder regulamentar do Chefe do Executivo pode criar direitos e obrigações novos para os particulares.;Certo;Errado;;;;Errado
INFORMÁTICA;Redes (Conceitos);Múltipla Escolha;FGV;Qual termo se refere a uma rede local (Local Area Network) que conecta computadores em uma área geográfica limitada (ex: um escritório)?;WAN;MAN;LAN;GAN;PAN;C
MATEMÁTICA;Exponencial (Crescimento);Múltipla Escolha;ENEM;Um investimento duplica a cada 5 anos. Em quantos anos ele será 8 vezes o valor inicial?;10 anos;15 anos;20 anos;25 anos;30 anos;B
HISTÓRIA;Idade Média (Cruzadas);Múltipla Escolha;FGV;As Cruzadas, expedições militares e religiosas da Idade Média, tiveram como principal objetivo:;A expansão do comércio marítimo.;A conquista da Terra Santa (Jerusalém).;A colonização da América.;O fim do sistema feudal.;O combate à Reforma Protestante.;B
GEOGRAFIA;Urbanização (Megacidades);Múltipla Escolha;VUNESP;Uma "Megacidade" é uma aglomeração urbana que, por definição, possui uma população superior a:;1 milhão de habitantes.;5 milhões de habitantes.;10 milhões de habitantes.;20 milhões de habitantes.;50 milhões de habitantes.;C
PORTUGUÊS;Interpretação (Crônica);Múltipla Escolha;ENEM;O gênero textual "crônica" se diferencia da notícia por:;Ter caráter essencialmente informativo.;Tratar de fatos do cotidiano sob uma ótica mais pessoal e subjetiva.;Utilizar linguagem formal e técnica.;Ser sempre curta e humorística.;Apresentar apenas opiniões do autor.;B
DIREITO CONSTITUCIONAL;Direito Ambiental;Certo/Errado;CESPE;Todos têm direito ao meio ambiente ecologicamente equilibrado, bem de uso comum do povo e essencial à sadia qualidade de vida, impondo-se ao Poder Público e à coletividade o dever de defendê-lo e preservá-lo para as presentes e futuras gerações.;Certo;Errado;;;;Certo
INFORMÁTICA;Cloud Computing (Exemplo);Múltipla Escolha;VUNESP;O Google Docs (editor de texto online) é um exemplo de qual modelo de serviço de computação em nuvem?;IaaS.;PaaS.;SaaS.;DaaS.;CaaS.;C
MATEMÁTICA;Geometria Analítica (Distância);Múltipla Escolha;FGV;A distância entre os pontos A(1, 2) e B(4, 6) no plano cartesiano é:;3;4;5;7;8;C
HISTÓRIA;Primeira República (Coronelismo);Múltipla Escolha;FGV;O Coronelismo, fenômeno político da Primeira República, caracterizava-se pela:;Grande influência política de líderes regionais (coronéis) e troca de votos por favores.;Criação de um sistema de voto secreto.;Centralização do poder no Governo Federal.;Decisão dos presidentes pela força militar.;Domínio da Igreja Católica na política.;B
GEOGRAFIA;População (Migração);Múltipla Escolha;VUNESP;O tipo de migração em que há o deslocamento diário de trabalhadores de uma cidade para outra (cidade-dormitório) é chamado de:;Migração sazonal.;Êxodo rural.;Migração pendular.;Migração forçada.;Transumância.;C
PORTUGUÊS;Concordância (Casos Especiais);Múltipla Escolha;FGV;Assinale a frase em que a concordância verbal está correta.;Grande parte dos alunos faltaram.;A maioria dos problemas foi resolvida.;Mais de um aluno se abraçaram.;Fui eu que fiz o trabalho.;Trinta por cento dos eleitores votou.;D
DIREITO ADMINISTRATIVO;Revogação e Anulação;Certo/Errado;CESPE;A revogação de um ato administrativo ocorre por motivo de ilegalidade (vício), sendo seus efeitos ex tunc.;Certo;Errado;;;;Errado
INFORMÁTICA;Segurança (Malware);Múltipla Escolha;VUNESP;Qual malware tem como objetivo principal monitorar as atividades do usuário e enviar informações confidenciais a terceiros?;Ransomware.;Vírus de Boot.;Spyware.;Worm.;Adware.;C
MATEMÁTICA;Trigonometria (Seno);Múltipla Escolha;VUNESP;Em um triângulo retângulo, o seno de um ângulo agudo é dado pela razão entre:;Cateto oposto e cateto adjacente.;Cateto adjacente e hipotenusa.;Cateto oposto e hipotenusa.;Cateto adjacente e cateto oposto.;Hipotenusa e cateto oposto.;C
HISTÓRIA;Revolução Francesa (Fim);Múltipla Escolha;FGV;O evento que é frequentemente citado como o fim da Revolução Francesa e o início da Era Napoleônica é:;A Queda da Bastilha.;A execução de Luís XVI.;O Golpe de 18 de Brumário.;O Congresso de Viena.;O Período do Terror.;C
GEOGRAFIA;Agricultura (Latifúndio);Múltipla Escolha;ENEM;A estrutura agrária brasileira é marcada pelo latifúndio, que se caracteriza por:;Pequenas propriedades rurais.;Ênfase na policultura e na subsistência.;Grandes extensões de terra, monocultura e, frequentemente, baixa produtividade.;Alto grau de mecanização e agricultura orgânica.;Uso intensivo de mão de obra familiar.;C
PORTUGUÊS;Semântica (Ambiguidade);Múltipla Escolha;VUNESP;A frase que apresenta ambiguidade (duplo sentido) é:;O guarda deteve o suspeito na praça.;O professor falou com o aluno que estava nervoso.;A menina vestia a blusa vermelha.;O livro está na gaveta da mesa.;Os documentos foram perdidos.;B
DIREITO CONSTITUCIONAL;Imunidade Tributária;Certo/Errado;CESPE;A imunidade tributária recíproca impede que a União, os Estados, o Distrito Federal e os Municípios instituam impostos uns sobre o patrimônio, renda ou serviços dos outros.;Certo;Errado;;;;Certo
INFORMÁTICA;Software (Freeware);Múltipla Escolha;ENEM;Um software distribuído gratuitamente, mas com o código-fonte fechado e que não pode ser modificado, é classificado como:;Software Livre.;Shareware.;Freeware.;Trialware.;Open Source.;C
MATEMÁTICA;Função Quadrática (Raízes);Múltipla Escolha;ENEM;As raízes de $x^2 - 4 = 0$ são:;2 e -2;4 e -4;2 e 0;4 e 0;0 e 0;A
HISTÓRIA;Ditadura Militar (Institucional);Múltipla Escolha;FGV;A fase mais repressiva da Ditadura Militar no Brasil é geralmente associada ao período pós:;Golpe de 1964.;Criação do AI-1.;Promulgação do AI-5.;Morte de Tancredo Neves.;Movimento das Diretas Já.;C
GEOGRAFIA;Urbanização (Hierarquia);Múltipla Escolha;VUNESP;No conceito de hierarquia urbana, o centro que exerce influência sobre todo o território nacional e se conecta ao sistema mundial é o(a):;Centro regional.;Metrópole regional.;Metrópole nacional.;Cidade média.;Cidade global.;C
PORTUGUÊS;Classes de Palavras (Interjeição);Múltipla Escolha;VUNESP;Qual classe de palavra é invariável e expressa emoções ou sentimentos instantâneos?;Substantivo.;Adjetivo.;Advérbio.;Interjeição.;Conjunção.;D
DIREITO ADMINISTRATIVO;Princípio da Impessoalidade;Certo/Errado;CESPE;O princípio da impessoalidade visa garantir que a atuação administrativa seja sempre voltada para a finalidade pública, e não para interesses pessoais do agente.;Certo;Errado;;;;Certo
INFORMÁTICA;Segurança (Ransomware);Múltipla Escolha;ENEM;Um ataque de Ransomware é caracterizado por:;Roubar dados pessoais via e-mail.;Criptografar os arquivos do usuário e exigir resgate para a liberação.;Causar lentidão no sistema.;Bloquear o acesso à internet.;Destruir o hardware.;B
MATEMÁTICA;Área (Trapézio);Múltipla Escolha;FGV;A área de um trapézio com bases 6 cm e 10 cm e altura 5 cm é:;40 cm²;30 cm²;80 cm²;16 cm²;21 cm²;A
HISTÓRIA;Revolução Francesa (Declaração);Múltipla Escolha;ENEM;O documento que estabeleceu os princípios de igualdade perante a lei e direitos naturais (liberdade, propriedade, resistência à opressão) na Revolução Francesa foi:;Código Napoleônico.;Declaração de Independência dos EUA.;Declaração dos Direitos do Homem e do Cidadão.;Edito de Nantes.;Carta Magna.;C
GEOGRAFIA;Indústria (Localização);Múltipla Escolha;VUNESP;A busca por mão de obra barata e incentivos fiscais são fatores de atração industrial que resultam na:;Concentração industrial.;Desconcentração industrial.;Industrialização tardia.;Substituição de importações.;Expansão do setor primário.;B
PORTUGUÊS;Sintaxe (Sujeito Indeterminado);Múltipla Escolha;FGV;Assinale a frase com sujeito indeterminado.;Precisa-se de novos técnicos.;O livro sumiu.;Fomos ao cinema.;A neve caía devagar.;Ele e ela se amavam.;A
DIREITO CONSTITUCIONAL;Ações Constitucionais (Mandado de Injunção);Certo/Errado;CESPE;O Mandado de Injunção é cabível quando a falta de norma regulamentadora torne inviável o exercício dos direitos e liberdades constitucionais e das prerrogativas inerentes à nacionalidade, à soberania e à cidadania.;Certo;Errado;;;;Certo
INFORMÁTICA;Redes (Topologia);Múltipla Escolha;VUNESP;Na topologia em anel, os dados circulam em:;Sentido bidirecional.;Um único sentido, passando por cada nó sucessivamente.;Sentido aleatório.;Sentido de ida e volta ao servidor central.;Sentido aleatório.;B
MATEMÁTICA;Média Ponderada;Múltipla Escolha;ENEM;As notas de um aluno são 6 (peso 2) e 8 (peso 3). Qual a média ponderada?;7,0;7,2;7,5;7,8;8,0;B
HISTÓRIA;Primeira Guerra Mundial (Tratado);Múltipla Escolha;FGV;O Tratado de Versalhes, assinado após a Primeira Guerra Mundial, impôs duras sanções e perdas territoriais a qual país?;França.;Inglaterra.;Alemanha.;Itália.;Rússia.;C
GEOGRAFIA;Relevo (Planalto);Múltipla Escolha;VUNESP;As formas de relevo caracterizadas por superfícies mais elevadas, onde a erosão supera a acumulação, são os(as):;Planícies.;Tabuleiros.;Depressões.;Planaltos.;Montanhas.;D
PORTUGUÊS;Regência (Verbo Implicar);Múltipla Escolha;FGV;A regência do verbo "implicar" está correta em:;O aumento implica em mais trabalho.;O aumento implica mais trabalho.;O aumento implica no mais trabalho.;O aumento implica para mais trabalho.;O aumento implica a mais trabalho.;B
DIREITO ADMINISTRATIVO;Revogação;Certo/Errado;CESPE;A revogação de um ato administrativo só pode ocorrer se o ato for ilegal.;Certo;Errado;;;;Errado
INFORMÁTICA;Segurança (Princípios);Múltipla Escolha;ENEM;O princípio de segurança da informação que garante que a informação esteja disponível para uso quando necessário é a:;Confidencialidade.;Integridade.;Disponibilidade.;Não-repúdio.;Autenticidade.;C
MATEMÁTICA;Progressão Geométrica (PG) (Soma);Múltipla Escolha;VUNESP;A soma dos 3 primeiros termos de uma PG com primeiro termo 1 e razão 2 é:;7;6;10;8;12;A
HISTÓRIA;Guerra Fria (Corrida);Múltipla Escolha;ENEM;A "Corrida Espacial" durante a Guerra Fria foi uma disputa tecnológica e simbólica entre:;Japão e EUA.;Alemanha e Inglaterra.;URSS e EUA.;China e URSS.;França e Inglaterra.;C
GEOGRAFIA;Climas (Monções);Múltipla Escolha;FGV;O fenômeno das Monções, com chuvas intensas no verão, é uma característica climática marcante em qual região do mundo?;Europa Ocidental.;América do Sul.;Ásia Meridional e Sudeste Asiático.;África do Sul.;Austrália.;C
PORTUGUÊS;Concordância (Porcentagem);Múltipla Escolha;FGV;A concordância está correta em:;20% da população votou.;20% da população votaram.;20% dos eleitores votou.;20% votaram.;Tanto A quanto B estão corretas.;E
